k,h,E,F,M_x,M_z,M_x_nh,M_z_nh
1.0909090909090908,0.696969696969697,1.9618937609363283,0.825022874355529,(0.8992013070958171+1.3877787807814454e-17j),(0.31573353492670037-2.7755575615628907e-17j),(0.9923359898680217+0.08820832277897286j),(1.6473751031596085e-16-2.1389965401670423e-16j)
1.1212121212121213,0.696969696969697,2.0221077950942763,0.8248374466020818,(0.9017507734879877-1.0408340855860846e-17j),(0.3154920175207563-1.387778780781446e-17j),(0.994718382652404+0.087242660163847j),(4.99818238567773e-16+6.846950867754175e-17j)
1.1515151515151516,0.696969696969697,2.0824644812038793,0.8247483540540648,(0.9042279984174744+1.0408340855860843e-17j),(0.3151334887248587+0j),(0.9970412137729163+0.0861432074921117j),(-8.88327988536136e-16+1.2720057126289446e-17j)
1.1818181818181819,0.696969696969697,2.142959816962902,0.8247670904824185,(-0.906636845638151+3.469446951953615e-18j),(0.31465684056428006+0j),(-0.9992919192738577+0.0849225921668265j),(-1.6390318642401276e-16+2.1621839988615727e-16j)
1.2121212121212122,0.696969696969697,2.2035891073548433,0.8249019034811143,(-0.9089805067838727-6.93889390390723e-18j),(0.31406233999723554+0j),(-1.0014601719590372+0.08359349617621202j),(5.086744434478778e-16-1.8319259540686399e-16j)
1.2424242424242424,0.696969696969697,2.2643470945530666,0.825158211311065,(0.9112616356128191-3.469446951953614e-18j),(0.31335143064861265-1.3877787807814457e-17j),(1.0035376959955766+0.08216850800143427j),(8.654226508187448e-17+6.687490323121393e-17j)
1.2727272727272727,0.696969696969697,2.3252280767933744,0.8255389829262288,(0.9134824587402551+3.469446951953614e-18j),(0.31252655186590983-1.3877787807814457e-17j),(1.0055180878428966+0.08065998702948145j),(-1.6013738193885075e-16+2.3307295342054486e-17j)
1.303030303030303,0.696969696969697,2.386226016537001,0.8260450850684579,(0.9156448668107097-3.469446951953614e-18j),(0.3115909738652898+0j),(1.007396641729955+0.07907994279385594j),(5.649440572269732e-16-1.0589033022429677e-16j)
1.3333333333333335,0.696969696969697,2.447334638178788,0.82667559911592,(0.9177504893170453-3.469446951953614e-18j),(0.3105486480287297+1.3877787807814457e-17j),(1.009170179166665+0.07743993063698955j),(5.215534656206068e-16-2.2140146781482605e-16j)
1.3636363636363638,0.696969696969697,2.508547515551913,0.8274281095917649,(0.9198007557023684+3.4694469519536134e-18j),(0.30940407158900207+2.7755575615628907e-17j),(1.0108368828254+0.0757509646736341j),(5.70150745546173e-16-1.6103327531229303e-16j)
1.393939393939394,0.696969696969697,2.5698581495179367,0.8282989657742155,(0.9217969449357816+6.93889390390723e-18j),(0.3081621660296901+0j),(1.0123961356467395+0.07402344827081321j),(-3.063470450999329e-16-3.2144251988822535e-16j)
1.4242424242424243,0.696969696969697,2.631260035991767,0.8292835176077553,(-0.923740225401365+0j),(0.3068281685590569+1.3877787807814457e-17j),(-1.0138483662814792+0.07226712167525642j),(-3.902642680950852e-16+8.779133877844106e-17j)
1.4545454545454546,0.696969696969697,2.6927467248212036,0.8303763270264678,(-0.9256316866572885+1.3877787807814457e-17j),(0.3054075360104986+4.163336342344337e-17j),(-1.0151949020415054+0.0704910259320855j),(4.99345608825367e-17+2.325910144987766e-16j)
1.4848484848484849,0.696969696969697,2.754311870009874,0.8315713558094178,(-0.92747236439108+0j),(0.3039058604952708+0j),(-1.016437830450778+0.06870348185806939j),(-5.585086822869493e-16+1.6327393231923593e-17j)
1.5151515151515151,0.696969696969697,2.815949271833606,0.8328621311514927,(0.92926325970509+0j),(0.30232879609768437-1.3877787807814454e-17j),(1.0175798703118464+0.06691208256004924j),(3.148484175297144e-16-2.5094094853191395e-16j)
1.5454545454545454,0.696969696969697,2.877652911448912,0.834241890219726,(0.9310053537040593-6.93889390390723e-18j),(0.30068199586820943+2.775557561562892e-17j),(1.0186242529725322+0.0651236978185309j),(2.5478714080978033e-16+3.553775741026054e-16j)
1.5757575757575757,0.696969696969697,2.939416978626124,0.8357037050525428,(-0.9326996182179049+0j),(0.2989710583420038-1.387778780781446e-17j),(-1.0195746142231563+0.06334448857742943j),(-2.905954273695664e-16+2.9341402820768257e-16j)
1.6060606060606062,0.696969696969697,3.001235893258098,0.8372405892327045,(-0.9343470233728036+0j),(0.29720148279288194+2.7755575615628926e-17j),(-1.0204348970011508+0.06157992977990394j),(1.029332405903923e-16-6.600678229362426e-17j)
1.6363636363636365,0.696969696969697,3.0631043212987312,0.8388455878153651,(0.9359485426190566+0j),(0.29537863242748624+4.163336342344337e-17j),(1.021209264844142+0.05983483985203222j),(-4.788926282625317e-16-2.6293083820458267e-16j)
1.6666666666666667,0.696969696969697,3.125017185775754,0.8405118520165664,(-0.9375051557327254+1.3877787807814454e-17j),(0.2935077047316244+4.163336342344336e-17j),(-1.0219020258259304+0.058113415245407356j),(1.4880247682611054e-16+9.175217684757139e-18j)
1.696969696969697,0.696969696969697,3.1869696735005215,0.842232700163981,(0.9390178502278327+6.938893903907227e-18j),(0.2915937081995696+1.3877787807814454e-17j),(1.022517566538393+0.056419268592231536j),(-3.0992294002998074e-16-3.6729285727038446e-16j)
1.7272727272727273,0.696969696969697,3.2489572380670424,0.8440016663826253,(-0.9404876215457225+0j),(0.2896414447062856+0j),(-1.0230602955485286+0.054755469189158947j),(9.91202468115144e-17-3.2290916254632236e-16j)
1.7575757575757576,0.696969696969697,3.3109755996945673,0.845812538436784,(0.9419154723269023+0j),(0.2876554968199828+2.77555756156289e-17j),(1.0235345956629645+0.053124584698139146j),(-9.25685310950891e-17+1.496613007182257e-16j)
1.7878787878787878,0.696969696969697,3.3730207424257213,0.8476593860796322,(0.9433024110173626+6.93889390390723e-18j),(0.28564021939639217+0j),(1.0239447842695317+0.051528723124951686j),(1.1567129676027069e-16+9.305427617389456e-17j)
1.8181818181818183,0.696969696969697,3.435088909146604,0.8495365811782873,(0.9446494500153158+6.938893903907228e-18j),(0.28359973484450707-1.3877787807814457e-17j),(1.0242950809930311+0.04996957430229982j),(-1.854400441880955e-16-3.617719012537988e-16j)
1.8484848484848486,0.696969696969697,3.497176594848809,0.8514388107886023,(0.945957603524678+0j),(0.2815379315046129+2.7755575615628914e-17j),(1.024589581895369+0.04844845025937292j),(3.380001763500728e-16+1.989218752922882e-16j)
