k,h,E,F,M_x,M_z
-0.4545454545454546j,0.0,0.0,5.150667602378922e-34,(-2.9022752137501446e-17+1.0668829468410504e-32j),(2.2861601752605918e-17+2.327458774461789e-33j)
-0.48484848484848486j,0.0,0.0,1.8866507021583682e-32,(-2.231208631603742e-17-1.6567087822133944e-34j),(-1.880884090682801e-17+7.009661604401476e-34j)
-0.5151515151515151j,0.0,0.0,3.401007921789856e-33,(-8.836385326311206e-17+6.811893224775217e-33j),(2.608627962942427e-17-1.1322803937130321e-32j)
-0.5454545454545454j,0.0,0.0,9.536160887872574e-33,(9.644497598048242e-19-1.5608071701862855e-33j),(2.289012792456277e-18-2.228680886334356e-34j)
-0.5757575757575758j,0.0,0.0,1.0773214219129064e-33,(-6.684817913688219e-17-1.3132137359699924e-33j),(-4.230873327942159e-17+4.288561435782159e-33j)
-0.6060606060606061j,0.0,0.0,7.067727930314807e-35,(-4.000971078807513e-17+3.3015443034232287e-35j),(8.615449725125789e-18-1.640564867827098e-33j)
-0.6363636363636364j,0.0,0.0,2.820703316774039e-33,(2.5058805090817895e-17+4.7250602445523424e-33j),(-2.683447324104978e-17+2.4285801301577842e-33j)
-0.6666666666666667j,0.0,0.0,5.128067813381609e-35,(-1.594920426202225e-17+1.1488340113217697e-33j),(-2.30454675766242e-17-2.5247437244895196e-33j)
-0.696969696969697j,0.0,0.0,1.3642068345461544e-34,(-7.02989166969826e-18-5.175803768232439e-33j),(2.7698857269952366e-17-5.45225055609075e-33j)
-0.7272727272727273j,0.0,0.0,1.9037820708011174e-34,(-6.060462253873106e-17-3.084652382305612e-33j),(4.3290571933964935e-17+5.8997227751946524e-33j)
-0.7575757575757576j,0.0,0.0,8.831370338992623e-34,(1.4186223136467266e-17+4.091667658738695e-34j),(4.919641848764234e-18+1.6624900415327644e-33j)
-0.7878787878787878j,0.0,0.0,2.3550284029068007e-34,(-2.545825308461953e-17-4.759322414198991e-33j),(-3.5873305842068816e-17+7.684605205533162e-34j)
-0.8181818181818182j,0.0,0.0,1.34509995016552e-33,(1.731771584303402e-17+1.7851232913296364e-33j),(-1.813159510903389e-17+1.1214039592661937e-33j)
-0.8484848484848485j,0.0,0.0,1.6796396195090193e-34,(5.115164406410081e-17-4.515800985283215e-34j),(-1.02560125464192e-17+1.6119996112235095e-34j)
-0.8787878787878788j,0.0,0.0,1.66565105582474e-34,(-5.675091962226275e-17-1.0451555245727467e-32j),(-1.1351306204583842e-16-1.6736931561584813e-33j)
