k,h,E,F,M_x,M_z,M_x_nh,M_z_nh
0.6060606060606061,0.0,5.45454545454545,0.9999999999999998,(-1.6178667109602137e-16-3.1687041946070845e-33j),(0.999999999999998-2.3726015528538444e-47j),(-1.6178667109602177e-16-5.903489959009841e-17j),(1.0000000000000004+7.976799244020141e-17j)
0.6363636363636364,0.0,5.7272727272727355,1.0,(-8.690702305821056e-17+3.126060783346637e-32j),(0.9999999999999983+8.756807026281837e-46j),(-8.690702305821068e-17+7.277614837538897e-16j),(1.0000000000000004+0j)
0.6666666666666667,0.0,5.999999999999992,1.0,(-1.3419198950326452e-15-9.860761315262648e-32j),(-0.9999999999999997-5.551115123125783e-17j),(-1.341919895032646e-15-1.031996181806632e-15j),(-1.0000000000000002-5.290703220151344e-17j)
0.696969696969697,0.0,6.2727272727272645,1.0000000000000004,(-1.7894845235195593e-17+1.1555579666323415e-33j),(-1.0000000000000004+5.551115123125783e-17j),(-1.789484523519542e-17-5.5285974188172754e-18j),(-1.0000000000000002+5.2124078577848064e-17j)
0.7272727272727273,0.0,6.545454545454547,1.0,(7.495317273477342e-17+0j),(-1.0000000000000013+2.416156867189236e-48j),(7.495317273477331e-17+1.209278690540727e-16j),(-1.0000000000000002+8.270409528898351e-17j)
0.7575757575757576,0.0,6.8181818181818326,1.0,(-2.141666567574087e-17+9.244463733058732e-33j),(-0.999999999999999-5.551115123125783e-17j),(-2.1416665675740896e-17-2.254703762928972e-17j),(-1.0000000000000002-0j)
0.7878787878787878,0.0,7.09090909090909,1.0,(7.673068233835108e-17+0j),(-0.9999999999999984-5.369395721276096e-50j),(7.673068233835125e-17+1.5878395042421004e-16j),(-1.0000000000000002+5.21122409187894e-17j)
0.8181818181818182,0.0,7.363636363636353,1.0000000000000002,(2.655151252452691e-16+2.795395620506617e-32j),(0.9999999999999997-1.9962152700760874e-48j),(2.655151252452693e-16-6.599530409482102e-17j),(1.0000000000000002+0j)
0.8484848484848485,0.0,7.636363636363626,1.0,(1.378339216869735e-16+1.2887087592937587e-32j),(1.0000000000000002-6.841259506423248e-48j),(1.3783392168697347e-16+9.4657965827531e-17j),(1.0000000000000002-9.459598692114805e-17j)
0.8787878787878788,0.0,7.909090909090911,0.9999999999999996,(2.2759400186466654e-17+6.756606743158813e-35j),(1.000000000000001+1.0437781594432595e-48j),(2.275940018646664e-17+5.947567314244159e-17j),(1.0000000000000004-5.0542394532919314e-17j)
0.9090909090909092,0.0,8.181818181818185,1.0000000000000002,(-5.0600252732418566e-17+9.244463733058732e-33j),(-0.9999999999999989+6.50486619482593e-48j),(-5.0600252732418615e-17+2.052589561431825e-17j),(-1.0000000000000002-0j)
0.9393939393939394,0.0,8.454545454545439,1.0,(-1.4420313226666046e-17+2.465190328815662e-32j),(-0.9999999999999973-1.195619326175805e-47j),(-1.442031322666614e-17-8.227247381448854e-17j),(-1.0000000000000002-4.918689465104747e-17j)
0.9696969696969697,0.0,8.727272727272734,1.0,(7.930321369958587e-18-1.1473110553007676e-32j),(1.0000000000000016+1.5592091045497582e-48j),(7.930321369958572e-18-7.429541284430033e-17j),(1.0000000000000002+0j)
1.0,0.0,9.000000000000009,1.0,(1.5458648211085726e-16+2.291513960877939e-32j),(1.0000000000000004-2.886421742865679e-47j),(1.5458648211085729e-16-1.460700414940507e-17j),(1.0000000000000004+0j)
1.0303030303030303,0.0,9.272727272727273,1.0000000000000004,(9.673195059729898e-17-6.162975822039155e-33j),(-0.9999999999999999+5.551115123125783e-17j),(9.673195059729903e-17+3.940005881151026e-17j),(-1.0000000000000002+1.0267070771936017e-16j)
1.0606060606060606,0.0,9.545454545454541,0.9999999999999998,(1.8294098999326277e-16+0j),(-0.9999999999999984-5.551115123125783e-17j),(1.8294098999326312e-16+1.1392161333952255e-16j),(-1.0000000000000004-0j)
