ks,hs,Gs_exact,E_estimate
1.303030303030303,0.25,(-4.604656381385002-11.592323647628222j),(-4.6045181208806785-11.592215480035824j)
1.3333333333333335,0.25,(-4.601682067478521-11.865832235462701j),(-4.6013634799578345-11.865749892304638j)
1.3636363636363638,0.25,(-4.598807397887006-12.139382334657437j),(-4.598204869714-12.139278143985477j)
1.393939393939394,0.25,(-4.596029618776105+12.41296916149031j),(-4.59497441669081-12.41299697659726j)
1.4242424242424243,0.25,(-4.593345925102511+12.686588293270642j),(-4.593141998537524-12.686521770910101j)
1.4545454545454546,0.25,(-4.590753482043626-12.960235648517505j),(-4.589830423285912-12.960117870501564j)
1.4848484848484849,0.25,(-4.588249443691972+13.233907467217179j),(-4.587986857833053-13.233564874011096j)
1.5151515151515151,0.25,(-4.58583096923277+13.507600291357194j),(-4.585906152391035-13.507844458888066j)
1.5454545454545454,0.25,(-4.583495236827565+13.781310945903654j),(-4.58298941220878-13.781045213105072j)
1.5757575757575757,0.25,(-4.581239455415129+14.05503652034438j),(-4.580584021786335-14.055150048525478j)
1.6060606060606062,0.25,(-4.579060874639167-14.328774350901453j),(-4.578416711319657-14.328876462584736j)
1.6363636363636365,0.25,(-4.576956793097165+14.602522003479963j),(-4.5762771146009165-14.602421872925044j)
1.6666666666666667,0.25,(-4.574924565095699-14.876277257407049j),(-4.571815379974335-14.874980147878624j)
1.696969696969697,0.25,(-4.57296160608241-15.150038089987705j),(-4.572267552040523-15.149711174135344j)
1.7272727272727273,0.25,(-4.571065396914001-15.423802661895483j),(-4.570177418149197-15.423717188546435j)
1.7575757575757576,0.25,(-4.569233487104227-15.697569303399208j),(-4.569293798423533-15.697874740621522j)
1.7878787878787878,0.25,(-4.5674634971828185-15.971336501415392j),(-4.567479885220053-15.971384923332089j)
1.8181818181818183,0.25,(-4.5657531202859225-16.245102887371697j),(-4.565299462817968-16.2451855188773j)
1.8484848484848486,0.25,(-4.564100123083956-16.518867225858667j),(-4.564699173933026-16.51927284363961j)
1.878787878787879,0.25,(-4.562502346142484+16.792628404038272j),(-4.56151180211818-16.792159022116877j)
1.9090909090909092,0.25,(-4.560957703802464+17.066385421782115j),(-4.5601707720249935-17.06615662201462j)
1.9393939393939394,0.25,(-4.55946418365437-17.340137382502448j),(-4.559618158954747-17.340283281798282j)
1.9696969696969697,0.25,(-4.558019845674007-17.61388348464169j),(-4.557943943821223-17.61395060284458j)
2.0,0.25,(-4.556622821077628-17.887623013784133j),(-4.556174689473191-17.88763559222961j)
2.0303030303030303,0.25,(-4.555271310949063+18.161355335355j),(-4.555074946752146-18.161364980206667j)
2.0606060606060606,0.25,(-4.5539635846827515-18.435079887868966j),(-4.553835553087725-18.435065576465576j)
2.090909090909091,0.25,(-4.5526979782820955+18.70879617669454j),(-4.552651311466099-18.708774938423637j)
2.121212121212121,0.25,(-4.551472892547116+18.982503768301473j),(-4.55092576233482-18.98238181141111j)
2.1515151515151514,0.25,(-4.550286791179975+19.25620228495616j),(-4.549469913977025-19.255872950234732j)
2.1818181818181817,0.25,(-4.549138198833361-19.52989139983575j),(-4.548377659485959-19.529694894749042j)
2.2121212121212124,0.25,(-4.548025699123901-19.80357083253134j),(-4.547977863405409-19.80360771002852j)
2.2424242424242427,0.25,(-4.546947932627439-20.07724034491002j),(-4.5466971561647105-20.077283600287902j)
2.272727272727273,0.25,(-4.5459035948718025+20.35089973731281j),(-4.545793898122114-20.350955282864106j)
