E,z,var,E_Final,E_ED
(-34.503658074232206-14.18749209947218j),(-48.75-26.25j),316.93075071221415,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50344266029494-14.18933435634835j),(-48.75-26.25j),317.1527930426689,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49651993737401-14.188736232450974j),(-48.75-26.25j),317.0586374108699,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49926551876271-14.18872917656328j),(-48.75-26.25j),316.8140235158126,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50123445993815-14.185330928112704j),(-48.75-26.25j),317.0056647633037,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.5000843655886-14.18872962185932j),(-48.75-26.25j),317.078602993861,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49787365047762-14.190732221070085j),(-48.75-26.25j),317.1938945659962,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.4948284591921-14.193893057416803j),(-48.75-26.25j),317.01708044262614,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.492517184544845-14.195898596852995j),(-48.75-26.25j),317.1660632418583,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.48926101558998-14.198513133634908j),(-48.75-26.25j),316.7881442595261,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.493577245216336-14.19074874663003j),(-48.75-26.25j),317.1432257109428,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.495178792276505-14.192910497056499j),(-48.75-26.25j),316.78470907510405,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49815741857689-14.184122621517057j),(-48.75-26.25j),316.91200896960714,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49940826721227-14.182291179420952j),(-48.75-26.25j),317.1281235616663,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49706390280581-14.18839061442508j),(-48.75-26.25j),316.9326914290947,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.494603894605405-14.189703174696294j),(-48.75-26.25j),316.8754470778442,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.4924043942991-14.190305064072499j),(-48.75-26.25j),317.019071416223,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.491882937304155-14.18961634648644j),(-48.75-26.25j),316.777606409724,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49836184623137-14.1828919260187j),(-48.75-26.25j),317.00673205020286,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.499605753612556-14.184824436338873j),(-48.75-26.25j),316.8703935100095,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.500562788339074-14.184691357871522j),(-48.75-26.25j),317.10938307473174,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50005486086954-14.185862925519357j),(-48.75-26.25j),316.9998284242936,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.498880333135226-14.189090192532603j),(-48.75-26.25j),316.9833493345582,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49534342495763-14.19021668063187j),(-48.75-26.25j),316.9632394509514,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49826521250626-14.184884636226602j),(-48.75-26.25j),316.8668627686622,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49975053706393-14.181200701849935j),(-48.75-26.25j),317.0786332871455,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.498228739205445-14.185571856206833j),(-48.75-26.25j),317.0522848325858,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49786301428202-14.185259748161478j),(-48.75-26.25j),317.18613090798505,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
