E,z,var,E_Final,E_ED
(-34.27833980766172-14.414837834981636j),(-48.75-26.25j),317.0163596125611,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.49837069564859-14.072260469723794j),(-48.75-26.25j),316.89887208376115,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.51032373869129-14.063673950257234j),(-48.75-26.25j),316.8550675711938,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.43052733808931-14.267814898507536j),(-48.75-26.25j),316.9086753517979,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.29639246111537-14.700766828165383j),(-48.75-26.25j),316.8673300385834,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.52148291194016-14.217875240407277j),(-48.75-26.25j),316.9349028541514,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.39973622189452-14.295331102843013j),(-48.75-26.25j),317.2460802408224,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.514588519568065-14.164868489365725j),(-48.75-26.25j),316.90218669602626,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.38281077302263-14.377894330943919j),(-48.75-26.25j),317.0978779267304,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.27635912998393-14.493972618232474j),(-48.75-26.25j),316.8880937067448,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.64063445288123-13.980540866131292j),(-48.75-26.25j),316.923427247533,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.71242760877661-13.811292527793873j),(-48.75-26.25j),316.91293433545457,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.53968008894735-14.067558606710664j),(-48.75-26.25j),316.81191923961114,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.37518499391452-14.429459276509755j),(-48.75-26.25j),316.963997531477,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.38063552930535-14.36840581307127j),(-48.75-26.25j),316.9983522231251,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.779184558348476-13.878560319536266j),(-48.75-26.25j),317.0320150359541,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.484572339318234-14.368386176822737j),(-48.75-26.25j),317.05572130794855,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.67079838237257-14.002370502591038j),(-48.75-26.25j),316.9922891831712,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.44425498983873-14.248514995010103j),(-48.75-26.25j),317.17942854553627,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.74780589354789-13.804913403372158j),(-48.75-26.25j),316.9740020902909,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.51447924009234-14.11105676739995j),(-48.75-26.25j),317.0478493413116,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.60210853980385-13.989145868989821j),(-48.75-26.25j),317.0748473633147,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.62367546140139-14.236226486060094j),(-48.75-26.25j),316.90673880759033,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.420767097996-14.267677590500684j),(-48.75-26.25j),316.96706687518656,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.45980681817514-14.261600832233603j),(-48.75-26.25j),316.96343523186874,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.49575825815449-14.043089814594643j),(-48.75-26.25j),317.1110897576687,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.48399223764677-14.135344727790445j),(-48.75-26.25j),317.2108656879939,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
