E,z,var,E_Final,E_ED
(-34.48940218035058-14.26330511340589j),(-48.75-26.25j),316.95484806787016,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.592541577999114-13.945933322480862j),(-48.75-26.25j),317.0911141985641,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.63022470913958-14.036636120265465j),(-48.75-26.25j),317.38994886344807,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.575460163498626-14.197269110097317j),(-48.75-26.25j),317.18027755612457,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.48627799110775-14.3798827420082j),(-48.75-26.25j),316.98570556797995,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.5533714463601-14.030716004369477j),(-48.75-26.25j),317.0019678001241,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.66787055401445-14.071798667871834j),(-48.75-26.25j),317.4668561803457,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.621295152341865-13.997630807020501j),(-48.75-26.25j),316.8865830426911,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.45244517100749-14.29955991603956j),(-48.75-26.25j),316.95534849615944,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.67105655834665-14.144506407318572j),(-48.75-26.25j),317.14367094346994,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.283618994406226-14.290289066181101j),(-48.75-26.25j),317.0098043516809,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.4104113235369-14.290714941709764j),(-48.75-26.25j),316.88235406591554,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.19978810424981-14.628945397735261j),(-48.75-26.25j),316.8917160465277,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.48051358866131-14.147732419410595j),(-48.75-26.25j),316.8538735681435,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.52491578980366-14.26599533931459j),(-48.75-26.25j),316.94502363866997,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.45564545277267-14.22429972134921j),(-48.75-26.25j),317.16193735910576,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.37780239088809-14.28234525460429j),(-48.75-26.25j),316.82387752764646,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.18138825030004-14.678155001694867j),(-48.75-26.25j),317.1003999067051,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.638548111502715-13.90521099696837j),(-48.75-26.25j),317.049462536157,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.81620429768623-13.832960792203403j),(-48.75-26.25j),317.1519531349711,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.56579359597307-14.045085789208649j),(-48.75-26.25j),317.04758338239964,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.6134391929622-14.022270129671604j),(-48.75-26.25j),316.93123119212885,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.38154421708465-14.447875032713013j),(-48.75-26.25j),317.06244285349015,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.89435910748971-13.760235589139793j),(-48.75-26.25j),317.0732503708588,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.40126004096457-14.274598736570693j),(-48.75-26.25j),316.95779104246583,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.43722327646382-14.370014506351714j),(-48.75-26.25j),316.9381726377494,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.18159265454965-14.633454023650831j),(-48.75-26.25j),317.09509143430813,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.12060093590685-14.737713830598924j),(-48.75-26.25j),317.11402565267787,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
