ks,hs,Gs_exact,E_estimate,re_E,M_z_exact,M_z_estimate,M_x_exact,M_x_estimate
0.2210526315789474,1.5,(-23.81962305415291+0.9928826836226214j),(-23.819682739235777+0.9927108928415087j),7.628409789716195e-06,-0.2807257587623483,-0.27826881408691406,0.8633454282271785,0.864155670497225
0.25263157894736843,1.5,(-23.635499778294953+1.2710085015849284j),(-23.635403877629386+1.2707562481722599j),1.140143498851341e-05,-0.3144422074233544,-0.3150320053100586,0.8504119652198043,0.8496376074234464
0.28421052631578947,1.5,(-23.447333774180468-1.567189624632368j),(-23.447368269481146+1.5667559932574522j),0.13336137492308603,0.3446366072686928,-0.3450918197631836,0.8367644269122592,0.8364691479190207
0.3157894736842105,1.5,(-23.259531042078617-1.8795803606391903j),(-23.259927669521467+1.8791764857936322j),0.16107565153823156,0.37200027970983823,-0.3746194839477539,0.8228856255130371,0.8223826241923006
0.3473684210526316,1.5,(-23.073197077429846-2.205588761448265j),(-23.072863679131142+2.205693520588587j),0.19031888072121186,0.39683888700300124,-0.3951683044433594,0.8090102611532295,0.8096563230087259
0.37894736842105264,1.5,(-22.888234650108295-2.543697450174861j),(-22.888440525761755+2.5432550540360475j),0.22089190580677787,0.4195334336225901,-0.41794300079345703,0.7952128020421241,0.7958335817108371
0.4105263157894737,1.5,(-22.704605343046182+2.8931497595385203j),(-22.705193884281204+2.892584978698545j),3.5638238292075294e-05,-0.4404635050579465,-0.44256019592285156,0.7815183378349944,0.7811032724970441
0.4421052631578948,1.5,(-22.522544525953915-3.2533901850003346j),(-22.522339230600338+3.253817019980637j),0.28595179725986314,0.4599286719866572,-0.4610271453857422,0.7679502157070263,0.7674301397337924
0.4736842105263158,1.5,(-22.34241276065021-3.6238190895079043j),(-22.34278237960881+3.623235456786977j),0.32017896356588516,0.4781427965322926,-0.47760868072509766,0.7545364646757651,0.7549450280100228
0.5052631578947369,1.5,(-22.164554413318623+4.003767632372384j),(-22.16426820282461+4.002924913433101j),3.951448298786778e-05,-0.4952577149418954,-0.496185302734375,0.741304685730515,0.7407176998572301
0.5368421052631579,1.5,(-21.989236245131707-4.392541524518776j),(-21.9898746981507+4.392626846983738j),0.39178104137940534,0.5113865745456904,-0.5134792327880859,0.7282778192710728,0.7278151708577362
0.5684210526315789,1.5,(-21.816637973270183-4.789462873048233j),(-21.8167261947945+4.789353038209376j),0.42884766754580045,0.5266191816430335,-0.5257549285888672,0.7154726800670784,0.7157039844740163
0.6,1.5,(-21.646863183397958-5.193895641295324j),(-21.64665413872024+5.194455273094102j),0.46665623281253554,0.5410307959682609,-0.5422286987304688,0.702900150070395,0.7026810945682498
